image size: (210, 160, 3)
action size: 3
/home/matthew_daangn_com/anaconda3/lib/python3.6/site-packages/skimage/transform/_warps.py:84: UserWarning: The default mode, 'constant', will be changed to 'reflect' in skimage 0.15.
  warn("The default mode, 'constant', will be changed to 'reflect' in "
global steps 168000 | score: 13.0 | entropy: 0.3336 | grad norm: 2.018 
global steps 172800 | score: 15.0 | entropy: 0.3377 | grad norm: 1.462 
global steps 172800 | score: 13.0 | entropy: 0.3346 | grad norm: 1.462 
global steps 172800 | score: 12.0 | entropy: 0.3351 | grad norm: 1.462 
global steps 172800 | score: 10.0 | entropy: 0.3349 | grad norm: 1.462 
global steps 172800 | score: 15.0 | entropy: 0.3344 | grad norm: 1.462 
global steps 177600 | score: 10.0 | entropy: 0.3383 | grad norm: 1.918 
global steps 177600 | score: 10.0 | entropy: 0.3345 | grad norm: 1.918 
global steps 177600 | score: 13.0 | entropy: 0.3367 | grad norm: 1.918 
global steps 177600 | score: 15.0 | entropy: 0.3360 | grad norm: 1.918 
global steps 177600 | score: 15.0 | entropy: 0.3372 | grad norm: 1.918 
global steps 177600 | score: 11.0 | entropy: 0.3370 | grad norm: 1.918 
global steps 177600 | score: 12.0 | entropy: 0.3350 | grad norm: 1.918 
global steps 182400 | score: 18.0 | entropy: 0.3346 | grad norm: 2.283 
global steps 182400 | score: 14.0 | entropy: 0.3364 | grad norm: 2.283 
global steps 182400 | score: 13.0 | entropy: 0.3358 | grad norm: 2.283 
global steps 182400 | score: 15.0 | entropy: 0.3349 | grad norm: 2.283 
global steps 182400 | score: 16.0 | entropy: 0.3348 | grad norm: 2.283 
global steps 187200 | score: 16.0 | entropy: 0.3352 | grad norm: 2.922 
global steps 187200 | score: 13.0 | entropy: 0.3349 | grad norm: 2.922 
global steps 187200 | score: 12.0 | entropy: 0.3354 | grad norm: 2.922 
global steps 187200 | score: 16.0 | entropy: 0.3352 | grad norm: 2.922 
global steps 187200 | score: 18.0 | entropy: 0.3353 | grad norm: 2.922 
global steps 187200 | score: 24.0 | entropy: 0.3348 | grad norm: 2.922 
global steps 187200 | score: 22.0 | entropy: 0.3352 | grad norm: 2.922 
global steps 192000 | score: 13.0 | entropy: 0.3353 | grad norm: 3.120 
global steps 192000 | score: 14.0 | entropy: 0.3383 | grad norm: 3.120 
global steps 192000 | score: 15.0 | entropy: 0.3383 | grad norm: 3.120 
global steps 192000 | score: 16.0 | entropy: 0.3377 | grad norm: 3.120 
global steps 192000 | score: 14.0 | entropy: 0.3420 | grad norm: 3.120 
global steps 192000 | score: 14.0 | entropy: 0.3366 | grad norm: 3.120 
global steps 192000 | score: 9.0 | entropy: 0.3382 | grad norm: 3.120 
global steps 196800 | score: 15.0 | entropy: 0.3401 | grad norm: 3.191 
global steps 196800 | score: 15.0 | entropy: 0.3384 | grad norm: 3.191 
global steps 196800 | score: 17.0 | entropy: 0.3407 | grad norm: 3.191 
global steps 196800 | score: 11.0 | entropy: 0.3417 | grad norm: 3.191 
