image size: (210, 160, 3)
action size: 3
global steps 185600 | score: 18.0 | entropy: 0.3248 | grad norm: 2.330 
global steps 185600 | score: 11.0 | entropy: 0.3258 | grad norm: 2.330 
global steps 185600 | score: 13.0 | entropy: 0.3236 | grad norm: 2.330 
global steps 185600 | score: 9.0 | entropy: 0.3236 | grad norm: 2.330 
global steps 185600 | score: 8.0 | entropy: 0.3237 | grad norm: 2.330 
global steps 192000 | score: 10.0 | entropy: 0.3211 | grad norm: 2.446 
global steps 192000 | score: 11.0 | entropy: 0.3186 | grad norm: 2.446 
global steps 192000 | score: 8.0 | entropy: 0.3193 | grad norm: 2.446 
global steps 192000 | score: 9.0 | entropy: 0.3187 | grad norm: 2.446 
global steps 192000 | score: 9.0 | entropy: 0.3214 | grad norm: 2.446 
global steps 192000 | score: 11.0 | entropy: 0.3183 | grad norm: 2.446 
global steps 192000 | score: 11.0 | entropy: 0.3210 | grad norm: 2.446 
global steps 192000 | score: 10.0 | entropy: 0.3225 | grad norm: 2.446 
global steps 192000 | score: 11.0 | entropy: 0.3248 | grad norm: 2.446 
global steps 192000 | score: 14.0 | entropy: 0.3213 | grad norm: 2.446 
global steps 198400 | score: 12.0 | entropy: 0.3222 | grad norm: 2.418 
global steps 198400 | score: 13.0 | entropy: 0.3239 | grad norm: 2.418 
global steps 198400 | score: 12.0 | entropy: 0.3217 | grad norm: 2.418 
global steps 198400 | score: 13.0 | entropy: 0.3219 | grad norm: 2.418 
global steps 198400 | score: 20.0 | entropy: 0.3260 | grad norm: 2.418 
global steps 198400 | score: 10.0 | entropy: 0.3226 | grad norm: 2.418 
global steps 204800 | score: 14.0 | entropy: 0.3263 | grad norm: 2.985 
global steps 204800 | score: 9.0 | entropy: 0.3240 | grad norm: 2.985 
global steps 204800 | score: 15.0 | entropy: 0.3236 | grad norm: 2.985 
global steps 204800 | score: 11.0 | entropy: 0.3218 | grad norm: 2.985 
global steps 204800 | score: 9.0 | entropy: 0.3207 | grad norm: 2.985 
global steps 204800 | score: 13.0 | entropy: 0.3258 | grad norm: 2.985 
global steps 204800 | score: 11.0 | entropy: 0.3209 | grad norm: 2.985 
global steps 204800 | score: 12.0 | entropy: 0.3209 | grad norm: 2.985 
global steps 204800 | score: 11.0 | entropy: 0.3237 | grad norm: 2.985 
global steps 211200 | score: 14.0 | entropy: 0.3260 | grad norm: 3.301 
global steps 211200 | score: 11.0 | entropy: 0.3255 | grad norm: 3.301 
global steps 211200 | score: 12.0 | entropy: 0.3258 | grad norm: 3.301 
global steps 211200 | score: 10.0 | entropy: 0.3250 | grad norm: 3.301 
global steps 211200 | score: 11.0 | entropy: 0.3253 | grad norm: 3.301 
global steps 211200 | score: 12.0 | entropy: 0.3255 | grad norm: 3.301 
global steps 211200 | score: 11.0 | entropy: 0.3264 | grad norm: 3.301 
global steps 217600 | score: 12.0 | entropy: 0.3221 | grad norm: 3.096 
global steps 217600 | score: 12.0 | entropy: 0.3248 | grad norm: 3.096 
global steps 217600 | score: 11.0 | entropy: 0.3218 | grad norm: 3.096 
global steps 217600 | score: 15.0 | entropy: 0.3214 | grad norm: 3.096 
global steps 217600 | score: 16.0 | entropy: 0.3213 | grad norm: 3.096 
global steps 217600 | score: 15.0 | entropy: 0.3229 | grad norm: 3.096 
global steps 217600 | score: 13.0 | entropy: 0.3230 | grad norm: 3.096 
global steps 217600 | score: 14.0 | entropy: 0.3215 | grad norm: 3.096 
global steps 217600 | score: 12.0 | entropy: 0.3215 | grad norm: 3.096 
global steps 224000 | score: 12.0 | entropy: 0.3231 | grad norm: 2.975 
global steps 224000 | score: 14.0 | entropy: 0.3251 | grad norm: 2.975 
global steps 224000 | score: 13.0 | entropy: 0.3264 | grad norm: 2.975 
global steps 224000 | score: 10.0 | entropy: 0.3246 | grad norm: 2.975 
global steps 224000 | score: 10.0 | entropy: 0.3256 | grad norm: 2.975 
global steps 224000 | score: 11.0 | entropy: 0.3245 | grad norm: 2.975 
global steps 224000 | score: 12.0 | entropy: 0.3273 | grad norm: 2.975 
global steps 224000 | score: 12.0 | entropy: 0.3298 | grad norm: 2.975 
global steps 224000 | score: 13.0 | entropy: 0.3244 | grad norm: 2.975 
global steps 230400 | score: 10.0 | entropy: 0.3214 | grad norm: 3.256 
global steps 230400 | score: 9.0 | entropy: 0.3223 | grad norm: 3.256 
global steps 230400 | score: 11.0 | entropy: 0.3219 | grad norm: 3.256 
global steps 230400 | score: 11.0 | entropy: 0.3238 | grad norm: 3.256 
global steps 230400 | score: 9.0 | entropy: 0.3233 | grad norm: 3.256 
global steps 230400 | score: 12.0 | entropy: 0.3254 | grad norm: 3.256 
global steps 230400 | score: 11.0 | entropy: 0.3205 | grad norm: 3.256 
global steps 230400 | score: 21.0 | entropy: 0.3239 | grad norm: 3.256 
global steps 230400 | score: 13.0 | entropy: 0.3265 | grad norm: 3.256 
global steps 236800 | score: 10.0 | entropy: 0.3232 | grad norm: 2.493 
global steps 236800 | score: 12.0 | entropy: 0.3243 | grad norm: 2.493 
global steps 236800 | score: 10.0 | entropy: 0.3232 | grad norm: 2.493 
global steps 236800 | score: 14.0 | entropy: 0.3249 | grad norm: 2.493 
global steps 236800 | score: 10.0 | entropy: 0.3252 | grad norm: 2.493 
global steps 236800 | score: 9.0 | entropy: 0.3262 | grad norm: 2.493 
global steps 243200 | score: 12.0 | entropy: 0.3263 | grad norm: 3.577 
global steps 243200 | score: 11.0 | entropy: 0.3233 | grad norm: 3.577 
global steps 243200 | score: 16.0 | entropy: 0.3248 | grad norm: 3.577 
global steps 243200 | score: 14.0 | entropy: 0.3294 | grad norm: 3.577 
global steps 243200 | score: 10.0 | entropy: 0.3228 | grad norm: 3.577 
global steps 243200 | score: 12.0 | entropy: 0.3281 | grad norm: 3.577 
